,0,1,2
31,252490,Rust,"[{""name"": ""Survival"", ""tagid"": 1662}, {""name"": ""Crafting"", ""tagid"": 1702}, {""name"": ""Multiplayer"", ""tagid"": 3859}, {""name"": ""Open World"", ""tagid"": 1695}, {""name"": ""Open World Survival Craft"", ""tagid"": 1100689}, {""name"": ""Building"", ""tagid"": 1643}, {""name"": ""Sandbox"", ""tagid"": 3810}, {""name"": ""PvP"", ""tagid"": 1775}, {""name"": ""Adventure"", ""tagid"": 21}, {""name"": ""First-Person"", ""tagid"": 3839}]"
32,617290,Remnant: From the Ashes,"[{""name"": ""Souls-like"", ""tagid"": 29482}, {""name"": ""Action"", ""tagid"": 19}, {""name"": ""RPG"", ""tagid"": 122}, {""name"": ""Adventure"", ""tagid"": 21}, {""name"": ""Co-op"", ""tagid"": 1685}, {""name"": ""Third-Person Shooter"", ""tagid"": 3814}, {""name"": ""Multiplayer"", ""tagid"": 3859}, {""name"": ""Online Co-Op"", ""tagid"": 3843}, {""name"": ""Shooter"", ""tagid"": 1774}, {""name"": ""Post-apocalyptic"", ""tagid"": 3835}]"
33,435150,Divinity: Original Sin 2 - Definitive Edition,"[{""name"": ""Tactical RPG"", ""tagid"": 21725}, {""name"": ""Exploration"", ""tagid"": 3834}, {""name"": ""Turn-Based Strategy"", ""tagid"": 1741}, {""name"": ""RPG"", ""tagid"": 122}, {""name"": ""Story Rich"", ""tagid"": 1742}, {""name"": ""CRPG"", ""tagid"": 4474}, {""name"": ""Fantasy"", ""tagid"": 1684}, {""name"": ""Party-Based RPG"", ""tagid"": 10695}, {""name"": ""Character Customization"", ""tagid"": 4747}, {""name"": ""Strategy RPG"", ""tagid"": 17305}]"
34,281990,Stellaris,"[{""name"": ""Space"", ""tagid"": 1755}, {""name"": ""Grand Strategy"", ""tagid"": 4364}, {""name"": ""Strategy"", ""tagid"": 9}, {""name"": ""Sci-fi"", ""tagid"": 3942}, {""name"": ""Exploration"", ""tagid"": 3834}, {""name"": ""4X"", ""tagid"": 1670}, {""name"": ""Sandbox"", ""tagid"": 3810}, {""name"": ""Simulation"", ""tagid"": 599}, {""name"": ""Real-Time with Pause"", ""tagid"": 7107}, {""name"": ""Moddable"", ""tagid"": 1669}]"
35,678960,CODE VEIN,"[{""name"": ""Souls-like"", ""tagid"": 29482}, {""name"": ""Anime"", ""tagid"": 4085}, {""name"": ""Character Customization"", ""tagid"": 4747}, {""name"": ""Action RPG"", ""tagid"": 4231}, {""name"": ""Co-op"", ""tagid"": 1685}, {""name"": ""JRPG"", ""tagid"": 4434}, {""name"": ""Third Person"", ""tagid"": 1697}, {""name"": ""Action"", ""tagid"": 19}, {""name"": ""Difficult"", ""tagid"": 4026}, {""name"": ""Singleplayer"", ""tagid"": 4182}]"
36,1174180,Red Dead Redemption 2,"[{""name"": ""Open World"", ""tagid"": 1695}, {""name"": ""Adventure"", ""tagid"": 21}, {""name"": ""Story Rich"", ""tagid"": 1742}, {""name"": ""Western"", ""tagid"": 1647}, {""name"": ""Action"", ""tagid"": 19}, {""name"": ""Multiplayer"", ""tagid"": 3859}, {""name"": ""Realistic"", ""tagid"": 4175}, {""name"": ""Shooter"", ""tagid"": 1774}, {""name"": ""Singleplayer"", ""tagid"": 4182}, {""name"": ""Atmospheric"", ""tagid"": 4166}]"
37,227300,Euro Truck Simulator 2,"[{""name"": ""Transportation"", ""tagid"": 10383}, {""name"": ""Driving"", ""tagid"": 1644}, {""name"": ""Simulation"", ""tagid"": 599}, {""name"": ""Open World"", ""tagid"": 1695}, {""name"": ""Automobile Sim"", ""tagid"": 1100687}, {""name"": ""Realistic"", ""tagid"": 4175}, {""name"": ""Moddable"", ""tagid"": 1669}, {""name"": ""Relaxing"", ""tagid"": 1654}, {""name"": ""Immersive Sim"", ""tagid"": 9204}, {""name"": ""Exploration"", ""tagid"": 3834}]"
38,107410,Arma 3,"[{""name"": ""Action"", ""tagid"": 19}, {""name"": ""Multiplayer"", ""tagid"": 3859}, {""name"": ""Military"", ""tagid"": 4168}, {""name"": ""Simulation"", ""tagid"": 599}, {""name"": ""Shooter"", ""tagid"": 1774}, {""name"": ""First-Person"", ""tagid"": 3839}, {""name"": ""Realistic"", ""tagid"": 4175}, {""name"": ""Open World"", ""tagid"": 1695}, {""name"": ""Tactical"", ""tagid"": 1708}, {""name"": ""FPS"", ""tagid"": 1663}]"
39,440,Team Fortress 2,"[{""name"": ""Free to Play"", ""tagid"": 113}, {""name"": ""Hero Shooter"", ""tagid"": 620519}, {""name"": ""Multiplayer"", ""tagid"": 3859}, {""name"": ""FPS"", ""tagid"": 1663}, {""name"": ""Shooter"", ""tagid"": 1774}, {""name"": ""Action"", ""tagid"": 19}, {""name"": ""Class-Based"", ""tagid"": 4155}, {""name"": ""Team-Based"", ""tagid"": 5711}, {""name"": ""Funny"", ""tagid"": 4136}, {""name"": ""First-Person"", ""tagid"": 3839}]"
40,270880,American Truck Simulator,"[{""name"": ""Automobile Sim"", ""tagid"": 1100687}, {""name"": ""Driving"", ""tagid"": 1644}, {""name"": ""Transportation"", ""tagid"": 10383}, {""name"": ""Open World"", ""tagid"": 1695}, {""name"": ""America"", ""tagid"": 13190}, {""name"": ""Realistic"", ""tagid"": 4175}, {""name"": ""Simulation"", ""tagid"": 599}, {""name"": ""Moddable"", ""tagid"": 1669}, {""name"": ""Relaxing"", ""tagid"": 1654}, {""name"": ""Immersive Sim"", ""tagid"": 9204}]"
41,386360,SMITE®,"[{""name"": ""Free to Play"", ""tagid"": 113}, {""name"": ""MOBA"", ""tagid"": 1718}, {""name"": ""Multiplayer"", ""tagid"": 3859}, {""name"": ""Action"", ""tagid"": 19}, {""name"": ""Third Person"", ""tagid"": 1697}, {""name"": ""Mythology"", ""tagid"": 16094}, {""name"": ""Team-Based"", ""tagid"": 5711}, {""name"": ""Competitive"", ""tagid"": 3878}, {""name"": ""PvP"", ""tagid"": 1775}, {""name"": ""Strategy"", ""tagid"": 9}]"
42,236850,Europa Universalis IV,"[{""name"": ""Grand Strategy"", ""tagid"": 4364}, {""name"": ""Historical"", ""tagid"": 3987}, {""name"": ""Simulation"", ""tagid"": 599}, {""name"": ""Alternate History"", ""tagid"": 4598}, {""name"": ""Economy"", ""tagid"": 4695}, {""name"": ""Military"", ""tagid"": 4168}, {""name"": ""Sandbox"", ""tagid"": 3810}, {""name"": ""Political"", ""tagid"": 4853}, {""name"": ""Diplomacy"", ""tagid"": 6310}, {""name"": ""Strategy"", ""tagid"": 9}]"
43,648800,Raft,"[{""name"": ""Survival"", ""tagid"": 1662}, {""name"": ""Open World Survival Craft"", ""tagid"": 1100689}, {""name"": ""Multiplayer"", ""tagid"": 3859}, {""name"": ""Co-op"", ""tagid"": 1685}, {""name"": ""Crafting"", ""tagid"": 1702}, {""name"": ""Open World"", ""tagid"": 1695}, {""name"": ""Building"", ""tagid"": 1643}, {""name"": ""Base Building"", ""tagid"": 7332}, {""name"": ""Online Co-Op"", ""tagid"": 3843}, {""name"": ""Adventure"", ""tagid"": 21}]"
44,787860,Farming Simulator 19,"[{""name"": ""Simulation"", ""tagid"": 599}, {""name"": ""Farming Sim"", ""tagid"": 87918}, {""name"": ""Multiplayer"", ""tagid"": 3859}, {""name"": ""Agriculture"", ""tagid"": 22602}, {""name"": ""Realistic"", ""tagid"": 4175}, {""name"": ""Driving"", ""tagid"": 1644}, {""name"": ""Open World"", ""tagid"": 1695}, {""name"": ""Management"", ""tagid"": 12472}, {""name"": ""Singleplayer"", ""tagid"": 4182}, {""name"": ""Automobile Sim"", ""tagid"": 1100687}]"
45,323190,Frostpunk,"[{""name"": ""City Builder"", ""tagid"": 4328}, {""name"": ""Survival"", ""tagid"": 1662}, {""name"": ""Strategy"", ""tagid"": 9}, {""name"": ""Resource Management"", ""tagid"": 8945}, {""name"": ""Post-apocalyptic"", ""tagid"": 3835}, {""name"": ""Steampunk"", ""tagid"": 1777}, {""name"": ""Colony Sim"", ""tagid"": 220585}, {""name"": ""Building"", ""tagid"": 1643}, {""name"": ""Simulation"", ""tagid"": 599}, {""name"": ""Base Building"", ""tagid"": 7332}]"
46,413150,Stardew Valley,"[{""name"": ""Farming Sim"", ""tagid"": 87918}, {""name"": ""Life Sim"", ""tagid"": 10235}, {""name"": ""Pixel Graphics"", ""tagid"": 3964}, {""name"": ""RPG"", ""tagid"": 122}, {""name"": ""Multiplayer"", ""tagid"": 3859}, {""name"": ""Relaxing"", ""tagid"": 1654}, {""name"": ""Agriculture"", ""tagid"": 22602}, {""name"": ""Simulation"", ""tagid"": 599}, {""name"": ""Crafting"", ""tagid"": 1702}, {""name"": ""Sandbox"", ""tagid"": 3810}]"
47,294100,RimWorld,"[{""name"": ""Colony Sim"", ""tagid"": 220585}, {""name"": ""Base Building"", ""tagid"": 7332}, {""name"": ""Survival"", ""tagid"": 1662}, {""name"": ""Strategy"", ""tagid"": 9}, {""name"": ""Management"", ""tagid"": 12472}, {""name"": ""Sandbox"", ""tagid"": 3810}, {""name"": ""Building"", ""tagid"": 1643}, {""name"": ""Simulation"", ""tagid"": 599}, {""name"": ""City Builder"", ""tagid"": 4328}, {""name"": ""Singleplayer"", ""tagid"": 4182}]"
48,552520,Far Cry® 5,"[{""name"": ""Open World"", ""tagid"": 1695}, {""name"": ""Co-op"", ""tagid"": 1685}, {""name"": ""Action"", ""tagid"": 19}, {""name"": ""Multiplayer"", ""tagid"": 3859}, {""name"": ""FPS"", ""tagid"": 1663}, {""name"": ""Shooter"", ""tagid"": 1774}, {""name"": ""Adventure"", ""tagid"": 21}, {""name"": ""Singleplayer"", ""tagid"": 4182}, {""name"": ""First-Person"", ""tagid"": 3839}, {""name"": ""Survival"", ""tagid"": 1662}]"
49,394360,Hearts of Iron IV,"[{""name"": ""Strategy"", ""tagid"": 9}, {""name"": ""World War II"", ""tagid"": 4150}, {""name"": ""Grand Strategy"", ""tagid"": 4364}, {""name"": ""Historical"", ""tagid"": 3987}, {""name"": ""War"", ""tagid"": 1678}, {""name"": ""Military"", ""tagid"": 4168}, {""name"": ""Alternate History"", ""tagid"": 4598}, {""name"": ""Multiplayer"", ""tagid"": 3859}, {""name"": ""Simulation"", ""tagid"": 599}, {""name"": ""Tactical"", ""tagid"": 1708}]"
